Total,Year,residence,region,wealth_q,eth_hoh,elderly_hoh,sex_hoh,mother_edu,bw_less_25,bw_equal_25,WMWEIGHT
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Rich,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poor,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Middle,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,0.21731687791255574
Total,2000,Rural,Northern Midlands and Mountain,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.21731687791255574
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Urban,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Higher,0,0,1.2170701773931982
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Higher,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Urban,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.2170701773931982
Total,2000,Urban,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.2170701773931982
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,"Tay, Thai, Muong, Nung",Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,1,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,1,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Urban,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,1.2170701773931982
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,1.040044202851952
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,1.040044202851952
Total,2000,Urban,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Urban,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Higher,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Urban,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,1,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Other/Missing,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Urban,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.6900024150048191
Total,2000,Urban,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,1,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Urban,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Urban,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,0.6900024150048191
Total,2000,Urban,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Rural,North Central and Central Coast,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,1,0.6486060257199862
Total,2000,Urban,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Urban,North Central and Central Coast,Rich,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6900024150048191
Total,2000,Rural,North Central and Central Coast,Richest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.6486060257199862
Total,2000,Urban,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.2989428398772079
Total,2000,Urban,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: YES,Female,Mother Edu: Secondary,1,0,0.2989428398772079
Total,2000,Urban,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: YES,Male,Mother Edu: Secondary,0,0,0.2989428398772079
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poor,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poor,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Middle,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Urban,Central Highlands,Rich,Kinh and Hoa,Elderly HoH: NO,Female,Mother Edu: Secondary,0,0,0.2989428398772079
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: YES,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Kinh and Hoa,Elderly HoH: NO,Male,Mother Edu: Secondary,0,0,0.31852025901663467
Total,2000,Rural,Central Highlands,Poorest,Other/Missing,Elderly HoH: NO,Male,Mother Edu: None/Primary,0,0,0.31852025901663467
